Token | Position in ST

read | 4
( | 4
ident | 22
) | 3
read | 3
( | 3
ident | 49
) | 2
read | 2
( | 2
ident | 53
) | 1
to_integer | 1
( | 1
nr1 | 20
) | 1
to_integer | 1
( | 1
nr2 | 48
) | 1
to_integer | 1
( | 1
nr3 | 53
) | 1
if | 1
( | 1
what_type | 1
( | 1
nr1 | 20
) | 1
/ | 1
= | 1
integer | 1
OR | 1
what_type | 1
( | 1
nr2 | 48
) | 1
/ | 1
= | 1
integer | 1
OR | 1
what_type | 1
( | 1
nr3 | 53
) | 1
/ | 1
= | 1
integer | 1
) | 1
: | 1
write | 1
( | 1
const | 5
) | 0
end | 0
if | 0
( | 0
nr1 | 19
>= | 0
nr2 | 47
AND | 0
nr1 | 19
>= | 0
nr3 | 52
) | 0
: | 0
write | 0
( | 0
to_string | 0
( | 0
nr1 | 19
) | 0
+ | 0
const | 3
) | -1
end | -1
elif | -1
( | -1
nr2 | 46
>= | -1
nr1 | 18
AND | -1
nr2 | 46
>= | -1
nr3 | 51
) | -1
: | -1
write | -1
( | -1
to_string | -1
( | -1
nr2 | 46
) | -1
+ | -1
const | 3
) | -1
end | -1
write | -1
( | -1
to_string | -1
( | -1
nr3 | 51
) | -1
+ | -1
const | 3
) | -1
